RegionName,City,State,Metro,CountyName,SizeRank,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
Upper West Side,New York,NY,New York,New York,3,,,,,2875,2750,2800,2850,2650,2600,2700,2800,2850,2750,2800,2825,2850,2875,2950,3000,2900,2945,2950,2975,2990,2900,2900,2935,2995,3000,3000,3000,3000,2990,3000,3000,2999,3000,3000,3000,3100,3095,3000,3047,3000,3000,3000,3000,3000,2950,3275,3290,3250,3250,3295,3250,3225,3250,3295,3300,3200,3200,3250,3295,3300,3300,3277,3250,3250,3250,3272.5,3250,3295,3225.5,3070,3212.5,3250,3250,3235,3195,3146,3200,3195,3185,3150,3175,3195,3200,3200,3195,3195,3203,3200,3200,3175,3200,3260,3235
Upper East Side,New York,NY,New York,New York,5,2350,2500,2550,2675,2500,2400,2300,2197.5,2150,2200,2300,2450,2450,2400,2400,2450,2400,2455,2500,2500,2450,2495,2495,2495,2450,2495,2495,2489.5,2500,2500,2550,2550,2525,2500,2500,2500,2450,2450,2350,2450,2550,2575,2550,2550,2550,2595,2600,2595,2550,2550,2700,2695,2700,2700,2775,2795,2725,2800,2800,2795,2700,2725,2750,2795,2800,2750,2782.5,2795,2795,2800,2800,2795,2795,2700,2695,2700,2711,2700,2695,2700,2700,2725,2742.5,2700,2695,2700,2700,2695,2750,2700,2717.5,2700,2700,2695,2650,2600,2649,2687.5
Washington Heights,New York,NY,New York,New York,9,,,,,,,,,1285,1275,1283,1300,1300,1300,1300,1325,1350,1325,1325,1300,1325,1325,1350,1350,1350,1350,1350,1380,1400,1400,1400,1400,1400,1400,1450,1450,1450,1450,1450,1450,1495,1495,1495,1495,1495,1500,1500,1500,1500,1500,1501,1575,1595,1575,1570,1550,1595,1595,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1594,1595,1600,1662.5,1673,1650,1650,1675,1700,1700,1675,1650,1650,1650,1650,1695,1675,1700,1700,1700,1712.5
Astoria,New York,NY,New York,Queens,11,,,,,,,,,,1549,1525,1500,1495,1525,1550,1575,1575,1595,1600,1600,1650,1635,1635,1650,1695,1650,1700,1750,1800,1895,1850,1800,1850,1825,1825,1825,1825,1850,1925,2000,2000,2000,1995,1950,2000,2000,2000,2000,2025,2000,2025,2100,2000,2075,2050,2023,2000,2000,1950,1950,2000,1950,1950,2000,2000,1950,1999,1950,1910,1950,1900,1947.5,1950,1975,2000,2037.5,2000,2100,2100,2000,2000,2000,1965,1900,1900,1995,1995,2000,1999,1975,1900,1900,1900,1900,1950,1950,1950,1900
Williamsburg,New York,NY,New York,Kings,15,,,,,,,,,,,,,,,,,,,,,2500,2450,2495,2500,2550,2500,2500,2520,2750,2800,2795,2812.5,2700,2700,2700,2700,2750,3000,2967,3000,3000,3000,2950,2887,2875,2864,2864,2864,3000,3000,2995,3000,3000,2875,2900,2800,2700,2700,2696.5,2775,3000,2949.5,2850,3000,2900,2756,2900,2917,2850,2850,2750,2800,2790,2795,2799,2795,2800,2900,2950,2900,2900,2850,2864,2788,2700,2700,2799,2861,2900,2850,2800,2800,2795,2800,2700,2747.5,2750,2700
Bedford Stuyvesant,New York,NY,New York,Kings,16,,,,,,,,,,,,,,1400,1400,1400,1400,1425,1400,1400,1375,1400,1400,1400,1450,1450,1450,1450,1500,1500,1550,1500,1500,1500,1587,1600,1650,1650,1700,1700,1700,1700,1750,1700,1700,1700,1750,1750,1750,1800,1800,1850,1850,1800,1800,1850,1900,1850,1850,1900,1900,1900,1900,1950,1900,1900,1900,1900,1950,1995,2000,2000,2000,2050,2100,2100,2146.5,2100,2099,1977.5,1999,2000,2000,2050,2100,2100,2095,2100,2099,2095,2000,2000,2000,2000,2095,2100,2100,2149.5
Flatbush,New York,NY,New York,Kings,19,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1250,1275,1275,1250,1250,1250,1250,1295,1295,1299,1300,1300,1300,1300,1300,1325,1325,1350,1350,1375,1375,1400,1450,1400,1400,1450,1450,1450,1450,1450,1450,1499,1500,1500,1500,1500,1500,1500,1500,1535,1550,1550,1650,1599,1600,1625,1641,1650,1650,1645,1600,1600,1650,1600,1600,1600,1650,1650,1750,1775,1700,1626,1650,1600,1695,1700,1700,1700,1695,1650,1650,1675,1650,1650,1699,1700,1699.5,1700,1699.5,1699
Crown Heights,New York,NY,New York,Kings,20,,,,,,,,,,,,,,1400,1397.5,1375,1354,1350,1487,1550,1575,1585,1600,1600,1530,1512.5,1550,1600,1550,1495,1499.5,1495,1500,1500,1500,1550,1600,1599,1600,1650,1650,1650,1600,1600,1600,1550,1554,1600,1700,1750,1672.5,1675,1799,1795,1700,1750,1795,1750,1750,1800,1800,1900,1900,2000,2037.5,1999,1950,1950,1950,1999,1995,1964,2000,1950,1995,1950,1950,2045,2000,1950,1900,1800,1850,1950,1950,1900,1950,1920,1999,2050,1899,1874,1850,1850,1950,2000,1999,2000
Jamaica,New York,NY,New York,Queens,21,,,,,,,,,,,,,,,,,,,,,1280,1300,1270,1272.5,1250,1275,1275,1250,1300,1325,1325,1325,1277.5,1289.5,1277.5,1325,1351.5,1306,1350,1350,1350,1363,1375,1375,1425.5,1439,1450,1491.5,1402.5,1450,1466,1450,1457,1503,1457,1457,1450,1500,1649,1652.5,1676,1670.5,1600,1550,1522,1500,1500,1561,1600,1575,1599.5,1628,1500,1519.5,1612,1650,1625,1669,1725,1699,1639,1629,1649,1649.5,1650,1659,1650,1715,1700,1729,1750,1809,1759,1750,1759,1750,1759,1750
Harlem,New York,NY,New York,New York,22,,,,,,,,,1550,1550,1450,1430,1442.5,1475,1495,1495,1595,1525,1525,1497.5,1550,1600,1600,1625,1615,1625,1640,1625,1622.5,1600,1600,1595,1590,1600,1600,1600,1650,1695,1600,1600,1665,1600,1650,1640,1625,1600,1600,1650,1700,1725,1762.5,1750,1795,1800,1800,1795,1813,1880,1925,1927,1895,1900,1925,1925,1895,1900,1900,1895,1900,1900,1929,1960,1895,1850,1900,1950,1900,1850,1895,1850,2000,1997,1982.5,1950,1950,1992.5,2000,1970,2000,1950,1930,1950,1952.5,1950,1950,2000,2100,2000
Williamsbridge,New York,NY,New York,Bronx,23,,,,,,,,,,,,,,,1100,1100,1000,1000,1000,1000,1000,1000,1035,1000,1050,1075,1100,1095,1095,1050,1050,1097.5,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1152.5,1150,1195,1175,1200,1200,1200,1200,1200,1250,1250,1250,1250,1250,1250,1300,1300,1250,1300,1300,1300,1300,1350,1350,1297.5,1350,1350,1400,1395,1299.5,1350,1350,1350,1375,1400,1400,1400,1400,1400,1450,1450,1450,1400,1425,1425,1450,1475,1450,1415.5,1415.5
East Harlem,New York,NY,New York,New York,24,,,,,,,,,,1690,1750,1797.5,1950,1812.5,1797.5,1795,1647.5,1650,1795,1785,1797,1750,1800,1795,1850,1850,1900,1995,2050,2070,2100,2000,2038,2038,1965,1950,2038,2220,2050,2175,2150,2150,2121,2150,2250,2229,2175,2150,2075,2050,2300,2197.5,2085,2077.5,2300,2300,1959,2095,1900,2195,2300,2349,2295,2295,2296,2300,2296,2300,2300,2333,2430,2500,2600,2600,2500,2550,2600,2575,2500,2850,2496.5,2443.5,2500,2423,2395,2400,2395,2395,2385,2354,2425,2399,2347.5,2352,2300,2295,2300,2354
